Unnamed: 0,time,sternoclavicular_r2,sternoclavicular_r3,unrotscap_r3,unrotscap_r2,acromioclavicular_r2,acromioclavicular_r3,acromioclavicular_r1,unrothum_r1,unrothum_r3,unrothum_r2,elv_angle,shoulder_elv,shoulder1_r2,shoulder_rot,elbow_flexion,pro_sup,deviation,flexion,proximal_distal_r1,proximal_distal_r3,cmc_flexion,cmc_abduction,mp_flexion,ip_flexion,2mcp_flexion,2mcp_abduction,2pm_flexion,2md_flexion,APLpt_tx,APLpt_ty,APLpt_tz,FPLpt_tx,FPLpt_ty,FPLpt_tz,FPLpt2_tx,FPLpt2_ty,FPLpt2_tz,sternoclavicular_r2_vel,sternoclavicular_r3_vel,unrotscap_r3_vel,unrotscap_r2_vel,acromioclavicular_r2_vel,acromioclavicular_r3_vel,acromioclavicular_r1_vel,unrothum_r1_vel,unrothum_r3_vel,unrothum_r2_vel,elv_angle_vel,shoulder_elv_vel,shoulder1_r2_vel,shoulder_rot_vel,elbow_flexion_vel,pro_sup_vel,deviation_vel,flexion_vel,proximal_distal_r1_vel,proximal_distal_r3_vel,cmc_flexion_vel,cmc_abduction_vel,mp_flexion_vel,ip_flexion_vel,2mcp_flexion_vel,2mcp_abduction_vel,2pm_flexion_vel,2md_flexion_vel,APLpt_tx_vel,APLpt_ty_vel,APLpt_tz_vel,FPLpt_tx_vel,FPLpt_ty_vel,FPLpt_tz_vel,FPLpt2_tx_vel,FPLpt2_ty_vel,FPLpt2_tz_vel
49,0.0,-0.1025880237593749,0.0434514449608204,-0.0434514449608204,0.1025880237593749,-0.020771988096056,0.1678719003692732,0.0754572639859598,-0.0754572639859598,-0.1678719003692732,0.020771988096056,0.2668470053105573,0.4239165035612123,-0.2668470053105573,0.0381696908321258,1.4306929230499992,0.9225710724108506,0.0030847512941096,0.0033652745741241,0.2142977029782183,0.0964080153362563,0.058765236089182,0.1164590340982523,-0.482635897879459,-0.5966233513272087,-0.0595226566246699,0.1335700471315272,0.4701742473692853,0.6090850023609812,-3.986506544480248e-06,-1.5945328046220196e-06,-7.973013088960496e-06,-5.102819134055822e-06,-1.5308282869242264e-05,-8.610930930564424e-06,7.401941357707952e-07,-1.359262421453184e-06,-1.6310101859887008e-06,-0.0044328919539718,0.001877572849418,-0.001877572849418,0.0044328919539718,-0.0008975530211303,0.007253850170677,0.0032605542954047,-0.0032605542954047,-0.007253850170677,0.0008975530211303,0.0187230195507703,0.018317684285285,-0.0187230195507703,0.0388139583560813,0.0259972377137929,-0.0148393128992285,-8.197811496618752e-05,0.0003299544950895,-0.0051078282290117,0.0094523367096574,0.0,0.0008152083870213,0.0,0.0,-0.005695916920468,0.0,0.0,0.0,-4.53785605518485e-07,-1.9198621771937693e-07,-8.901179185171748e-07,-5.585053606381874e-07,-1.7104226669544914e-06,-9.599310885968637e-07,0.0,0.0,0.0
50,0.01,-0.1026323526789147,0.0434702206893146,-0.0434702206893146,0.1026323526789147,-0.0207809636262673,0.1679444388709799,0.0754898695289138,-0.0754898695289138,-0.1679444388709799,0.0207809636262673,0.267034235506065,0.4240996804040652,-0.267034235506065,0.0385578304156866,1.430952895427137,0.9224226792818584,0.0030839315129599,0.003368574119075,0.2142466246959281,0.0965025387033528,0.058765236089182,0.1164671861821225,-0.482635897879459,-0.5966233513272087,-0.0595796157938746,0.1335700471315272,0.4701742473692853,0.6090850023609812,-3.991044400535433e-06,-1.5964526667992134e-06,-7.981914268145668e-06,-5.108404187662204e-06,-1.532538709591181e-05,-8.620530241450393e-06,7.401941357707952e-07,-1.359262421453184e-06,-1.6310101859887008e-06,0.0004285306912418,-0.0001815142422076,0.0001815142422076,-0.0004285306912418,8.676031711639387e-05,-0.0007012383868687,-0.00031520646291,0.00031520646291,0.0007012383868687,-8.676031711639387e-05,0.0762603116168825,-0.001770793605782,-0.0762603116168825,-0.0942858452386799,-0.0397318619162589,-0.0417540702008167,-0.0097022329519589,0.004759024177998,-0.5960808857169264,0.1363360978135636,0.0,-0.3670786082105345,0.0,0.0,0.62678843546932,0.0,0.0,0.0,-6.387905062299311e-06,-2.548180707911709e-06,-1.2793263417118416e-05,-8.185594191853286e-06,-2.4556782575560117e-05,-1.382300767579514e-05,0.0,0.0,0.0
51,0.02,-0.1026280673720022,0.0434684055468925,-0.0434684055468925,0.1026280673720022,-0.0207800960230962,0.1679374264871113,0.0754867174642847,-0.0754867174642847,-0.1679374264871113,0.0207800960230962,0.2677968386222338,0.4240819724680074,-0.2677968386222338,0.0376149719632998,1.4305555768079743,0.92200513857985,0.0029869091834403,0.003416164360855,0.2082858158387589,0.0978658996814885,0.058765236089182,0.1127964001000171,-0.482635897879459,-0.5966233513272087,-0.0533117314391814,0.1335700471315272,0.4701742473692853,0.6090850023609812,-4.054923451158426e-06,-1.6219344738783305e-06,-8.109846902316852e-06,-5.1902601295807366e-06,-1.557095492166741e-05,-8.758760318208344e-06,7.401941357707952e-07,-1.359262421453184e-06,-1.6310101859887008e-06,0.0193523678257465,-0.0081967468457733,0.0081967468457733,-0.0193523678257465,0.0039184561569451,-0.0316676204673294,-0.0142343817804896,0.0142343817804896,0.0316676204673294,-0.0039184561569451,-0.1843885725926419,-0.079968281066034,0.1843885725926419,-0.2129306574354991,0.0955731302817675,-0.0545331440911289,0.0009483770089487,-0.000346988908589,0.0584180550198432,-0.0099402958619307,0.0,0.0513701013410236,0.0,0.0,-0.1047264920905725,0.0,0.0,0.0,4.363323129986051e-07,1.7453292519943357e-07,8.901179185171748e-07,5.585053606381874e-07,1.7104226669541526e-06,9.77384381116828e-07,0.0,0.0,0.0
52,0.03,-0.1024345436937448,0.0433864380784348,-0.0433864380784348,0.1024345436937448,-0.0207409114615267,0.167620750282438,0.0753443736464798,-0.0753443736464798,-0.167620750282438,0.0207409114615267,0.2659529528963074,0.423282289657347,-0.2659529528963074,0.0354856653889448,1.4315113081107922,0.9214598071389388,0.0029963929535298,0.0034126944717691,0.2088699963889573,0.0977664967228692,0.058765236089182,0.1133101011134274,-0.482635897879459,-0.5966233513272087,-0.0543589963600871,0.1335700471315272,0.4701742473692853,0.6090850023609812,-4.05056012802844e-06,-1.6201891446263362e-06,-8.10094572313168e-06,-5.184675075974355e-06,-1.555385069499787e-05,-8.748986474397176e-06,7.401941357707952e-07,-1.359262421453184e-06,-1.6310101859887008e-06,-0.0079915659389084,0.0033848566447329,-0.0033848566447329,0.0079915659389084,-0.0016181296561088,0.0130771761265441,0.0058780943877914,-0.0058780943877914,-0.0130771761265441,0.0016181296561088,0.0020349142814846,0.0330229558979655,-0.0020349142814846,0.0791161066054611,-0.0728079805432768,0.0605836071958409,-0.0032239198344064,-0.0077315293336545,-0.199014588803989,-0.2214920908284776,0.0,0.0613224050682092,0.0,0.0,0.3406033248145985,0.0,0.0,0.0,1.0419615634406206e-05,4.1713369122664624e-06,2.0821777976292447e-05,1.333431548523664e-05,3.9985493163190295e-05,2.2479840765686875e-05,0.0,0.0,0.0
53,0.04,-0.1025144593531339,0.0434202866448821,-0.0434202866448821,0.1025144593531339,-0.0207570927580878,0.1677515220437034,0.0754031545903577,-0.0754031545903577,-0.1677515220437034,0.0207570927580878,0.2659733020391223,0.4236125192163267,-0.2659733020391223,0.0362768264549994,1.4307832283053594,0.9220656432108972,0.0029641537551857,0.0033353791784326,0.2068798505009174,0.0955515758145844,0.058765236089182,0.1139233251641095,-0.482635897879459,-0.5966233513272087,-0.0509529631119412,0.1335700471315272,0.4701742473692853,0.6090850023609812,-3.946363971684378e-06,-1.5784757755036715e-06,-7.892727943368756e-06,-5.051331921121988e-06,-1.5153995763365966e-05,-8.524188066740307e-06,7.401941357707952e-07,-1.359262421453184e-06,-1.6310101859887008e-06,-5.309291584570941e-05,2.2479840765254888e-05,-2.2479840765254888e-05,5.309291584570941e-05,-1.0751228192440454e-05,8.684758357746514e-05,3.904301536655774e-05,-3.904301536655774e-05,-8.684758357746514e-05,1.0751228192440454e-05,-0.0029398325920582,0.0002193355270962,0.0029398325920582,0.035250345089359,0.0012845274228956,-0.0159457643785332,6.417575659583251e-05,0.0003362725869817,0.0039244775428631,0.0096336066057703,0.0,0.0055772694379174,0.0,0.0,-0.0033616961255589,0.0,0.0,0.0,-4.5378560551856964e-07,-1.919862177193981e-07,-9.075712110371392e-07,-5.759586531582367e-07,-1.727875959474456e-06,-9.599310885968637e-07,0.0,0.0,0.0
54,0.05,-0.1025149902822923,0.0434205114432897,-0.0434205114432897,0.1025149902822923,-0.0207572002703697,0.1677523905195392,0.0754035450205114,-0.0754035450205114,-0.1677523905195392,0.0207572002703697,0.2659439037132017,0.4236147125715976,-0.2659439037132017,0.036629329905893,1.4307960735795884,0.921906185567112,0.0029647955127517,0.0033387419043024,0.206919095276346,0.0956479118806421,0.058765236089182,0.1139790978584886,-0.482635897879459,-0.5966233513272087,-0.0509865800731967,0.1335700471315272,0.4701742473692853,0.6090850023609812,-3.950901827739564e-06,-1.5803956376808655e-06,-7.901803655479127e-06,-5.057091507653571e-06,-1.517127452296071e-05,-8.533787377626276e-06,7.401941357707952e-07,-1.359262421453184e-06,-1.6310101859887008e-06,-0.0129064829256966,0.0054665806567565,-0.0054665806567565,0.0129064829256966,-0.0026132989423034,0.0211197929460699,0.0094931948674464,-0.0094931948674464,-0.0211197929460699,0.0026132989423034,-0.0153474306043621,0.0533324971920878,0.0153474306043621,0.1060868540694551,0.0399443033928248,-0.6587517670718079,0.0149349918488257,0.0144824803336611,0.9173740273138054,0.4148921125084318,0.0,0.7761664188519493,0.0,0.0,-1.3336947790814533,0.0,0.0,0.0,-1.954768762233648e-05,-7.819075048934582e-06,-3.911282853719292e-05,-2.5028021473598648e-05,-7.510151771331608e-05,-4.225442119078264e-05,0.0,0.0,0.0
55,0.06,-0.1026440551115493,0.0434751772498573,-0.0434751772498573,0.1026440551115493,-0.0207833332597928,0.1679635884489999,0.0754984769691859,-0.0754984769691859,-0.1679635884489999,0.0207833332597928,0.2657904294071581,0.4241480375435185,-0.2657904294071581,0.0376901984465875,1.4311955166135166,0.9153186678963938,0.00311414543124,0.003483566707639,0.2160928355494841,0.0997968330057264,0.058765236089182,0.1217407620470081,-0.482635897879459,-0.5966233513272087,-0.0643235278640113,0.1335700471315272,0.4701742473692853,0.6090850023609812,-4.146378703962928e-06,-1.6585863881702111e-06,-8.292931940851056e-06,-5.307371722389557e-06,-1.592228970009387e-05,-8.956331589534102e-06,7.401941357707952e-07,-1.359262421453184e-06,-1.6310101859887008e-06,0.0031709141850244,-0.0013430483127019,0.0013430483127019,-0.0031709141850244,0.000642054271931,-0.0051887940530098,-0.0023323183860252,0.0023323183860252,0.0051887940530098,-0.000642054271931,0.0792328167725398,-0.0131029197330101,-0.0792328167725398,-0.0451321026081787,-0.071413863896641,0.4794350863788765,-0.0158328590292216,-0.0080904388410346,-0.9728775221091528,-0.2317737730920976,0.0,-0.6806946223865392,0.0,0.0,0.7744502191451715,0.0,0.0,0.0,1.094321441000438e-05,4.3807764225057615e-06,2.1903882112528723e-05,1.4014993893514497e-05,4.204498168054357e-05,2.3649211364523143e-05,0.0,0.0,0.0
56,0.07,-0.102612345969699,0.0434617467667303,-0.0434617467667303,0.102612345969699,-0.0207769127170735,0.1679117005084698,0.0754751537853256,-0.0754751537853256,-0.1679117005084698,0.0207769127170735,0.2665827575748835,0.4240170083461884,-0.2665827575748835,0.0372388774205058,1.4304813779745502,0.9201130187601826,0.0029558168409477,0.0034026623192286,0.2063640603283926,0.0974790952748054,0.058765236089182,0.1149338158231427,-0.482635897879459,-0.5966233513272087,-0.0565790256725596,0.1335700471315272,0.4701742473692853,0.6090850023609812,-4.036946559862885e-06,-1.6147786239451535e-06,-8.07389311972577e-06,-5.167221783454412e-06,-1.5501839883288435e-05,-8.71983947588887e-06,7.401941357707952e-07,-1.359262421453184e-06,-1.6310101859887008e-06,-0.004948200415622,0.0020958088190872,-0.0020958088190872,0.004948200415622,-0.0010019062571073,0.0080970710921945,0.0036395874490627,-0.0036395874490627,-0.0080970710921945,0.0010019062571073,-0.0040445387421095,0.020447020879305,0.0040445387421095,-0.0042783954085842,-0.0109735656856901,-0.0319792839118537,7.531095722354379e-05,0.0002091253509739,0.0046389106188732,0.0059908426574703,0.0,-0.0105611443834502,0.0,0.0,0.0009572781881336,0.0,0.0,0.0,-2.792526803190937e-07,-1.0471975511966014e-07,-5.585053606381874e-07,-3.665191429188317e-07,-1.0821041362364458e-06,-6.10865238198081e-07,0.0,0.0,0.0
57,0.08,-0.1026618279738553,0.0434827048549212,-0.0434827048549212,0.1026618279738553,-0.0207869317796445,0.1679926712193917,0.0755115496598162,-0.0755115496598162,-0.1679926712193917,0.0207869317796445,0.2665423121874624,0.4242214785549815,-0.2665423121874624,0.0371960934664199,1.430371642317693,0.919793225921064,0.00295656995052,0.0034047535727384,0.2064104494345813,0.0975390037013801,0.058765236089182,0.1148282043793082,-0.482635897879459,-0.5966233513272087,-0.0565694528906782,0.1335700471315272,0.4701742473692853,0.6090850023609812,-4.039739086666076e-06,-1.6158258214963503e-06,-8.079478173332151e-06,-5.1708869748836005e-06,-1.55126609246508e-05,-8.725948128270851e-06,7.401941357707952e-07,-1.359262421453184e-06,-1.6310101859887008e-06,0.0107791883669022,-0.0045655544304148,0.0045655544304148,-0.0107791883669022,0.0021825516829113,-0.0176387162996782,-0.0079284897397419,0.0079284897397419,0.0176387162996782,-0.0021825516829113,0.0522313166071264,-0.0445419893347842,-0.0522313166071264,-0.028319049217744,0.0817947157683685,-0.4203860948344462,0.0120842583150807,0.0121527275816365,0.7437376952044106,0.3481500935936368,0.0,0.5512424696619833,0.0,0.0,-0.5358841482030869,0.0,0.0,0.0,-1.64410015537866e-05,-6.579891280018625e-06,-3.286454981505307e-05,-2.10312174865316e-05,-6.311110575211518e-05,-3.548254369304453e-05,0.0,0.0,0.0
58,0.09,-0.1025540360901862,0.043437049310617,-0.043437049310617,0.1025540360901862,-0.0207651062628154,0.1678162840563949,0.0754322647624188,-0.0754322647624188,-0.1678162840563949,0.0207651062628154,0.2670646253535336,0.4237760586616336,-0.2670646253535336,0.0369129029742425,1.431189589475377,0.9155893649727196,0.0030774125336708,0.0035262808485547,0.2138478263866254,0.1010205046373165,0.058765236089182,0.1203406290759281,-0.482635897879459,-0.5966233513272087,-0.0619282943727091,0.1335700471315272,0.4701742473692853,0.6090850023609812,-4.2041491022039415e-06,-1.6816247342965366e-06,-8.408123671482682e-06,-5.3811991497489165e-06,-1.614377198217195e-05,-9.080773565201297e-06,7.401941357707952e-07,-1.359262421453184e-06,-1.6310101859887008e-06,-0.0023394567826656,0.0009908932295278,-0.0009908932295278,0.0023394567826656,-0.0004736823589913,0.0038282051813276,0.0017207550161255,-0.0017207550161255,-0.0038282051813276,0.0004736823589913,-0.0242187297527396,0.0096671692872862,0.0242187297527396,0.0256308756505299,0.0019311195508686,0.051957736246877,0.0001592962008295,-0.0026605624584476,0.0097589386993557,-0.0762192091130001,0.0,-0.0346085002569385,0.0,0.0,-0.1094948886866543,0.0,0.0,0.0,3.577924966588409e-06,1.431169986635355e-06,7.1558499331766495e-06,4.572762640225117e-06,1.3735741213195655e-05,7.714355293814837e-06,0.0,0.0,0.0
