,time,sternoclavicular_r2,sternoclavicular_r3,unrotscap_r3,unrotscap_r2,acromioclavicular_r2,acromioclavicular_r3,acromioclavicular_r1,unrothum_r1,unrothum_r3,unrothum_r2,elv_angle,shoulder_elv,shoulder1_r2,shoulder_rot,elbow_flexion,pro_sup,deviation,flexion,proximal_distal_r1,proximal_distal_r3,cmc_flexion,cmc_abduction,mp_flexion,ip_flexion,2mcp_flexion,2mcp_abduction,2pm_flexion,2md_flexion,sternoclavicular_r2_vel,sternoclavicular_r3_vel,unrotscap_r3_vel,unrotscap_r2_vel,acromioclavicular_r2_vel,acromioclavicular_r3_vel,acromioclavicular_r1_vel,unrothum_r1_vel,unrothum_r3_vel,unrothum_r2_vel,elv_angle_vel,shoulder_elv_vel,shoulder1_r2_vel,shoulder_rot_vel,elbow_flexion_vel,pro_sup_vel,deviation_vel,flexion_vel,proximal_distal_r1_vel,proximal_distal_r3_vel,cmc_flexion_vel,cmc_abduction_vel,mp_flexion_vel,ip_flexion_vel,2mcp_flexion_vel,2mcp_abduction_vel,2pm_flexion_vel,2md_flexion_vel
49,0.0,-0.11584602821372672,0.04906690988222075,-0.04906690988222075,0.11584602821372672,-0.02345646418324992,0.18956689292481002,0.08520901367412705,-0.08520901367412705,-0.18956689292481002,0.02345646418324992,0.28227008145176297,0.47870152292347246,-0.28227008145176297,0.13072099661878003,1.3731062009905386,0.7300183234342708,0.00398366846458358,0.0007088145120833387,0.2671221842178693,0.02030603806924993,0.058765236089182,0.19085503317924446,-0.48263589787945904,-0.5966233513272087,-0.022134810640117485,0.13357004713152726,0.47017424736928537,0.6090850023609812,6.386159732973962e-05,-2.7052603406019227e-05,2.7052603406019227e-05,-6.386159732973962e-05,1.2932889757386046e-05,-0.0001045103156099847,-4.696681017019033e-05,4.696681017019033e-05,0.0001045103156099847,-1.2932889757386046e-05,0.03144064039810601,-0.00026391123619240453,-0.03144064039810601,-0.022551643611115613,0.01741166641728853,0.17382699187689088,0.00047425831764440554,0.0025118953127627576,0.026794504116128826,0.07196046611179438,0.0,0.11217032135032445,0.0,0.0,0.59785604264584,0.0,0.0,0.0
50,0.01,-0.11584538959775342,0.049066639356186686,-0.049066639356186686,0.11584538959775342,-0.023456334854352345,0.18956584782165392,0.08520854400602534,-0.08520854400602534,-0.18956584782165392,0.023456334854352345,0.282584487855744,0.47869888381111053,-0.282584487855744,0.13049548018266888,1.3732803176547115,0.7317565933530397,0.003988411047760024,0.0007339334652109663,0.2673901292590306,0.021025642730367874,0.058765236089182,0.1919767363927477,-0.48263589787945904,-0.5966233513272087,-0.016156250213659084,0.13357004713152726,0.47017424736928537,0.6090850023609812,-0.0038180822716629703,0.0016171697250204342,-0.0016171697250204342,0.0038180822716629703,-0.000773093592170912,0.006247790029947908,0.0028083394862127298,-0.0028083394862127298,-0.006247790029947908,0.000773093592170912,-0.06361314971145005,0.01577718302607778,0.06361314971145005,-0.11567998648986944,-0.016055318695662457,-0.0020461367485791193,8.215264789140919e-05,-0.00028921851034798517,0.004550701678479596,-0.00828530485201956,0.0,0.004855942311363104,0.0,0.0,-0.005111266527635383,0.0,0.0,0.0
51,0.02,-0.11588357042047005,0.04908281105343689,-0.04908281105343689,0.11588357042047005,-0.023464065790274054,0.1896283257219534,0.08523662740088747,-0.08523662740088747,-0.1896283257219534,0.023464065790274054,0.2819483563586295,0.4788566556413713,-0.2819483563586295,0.12933868031777018,1.3731197644677549,0.7317361319855539,0.003989232574238938,0.0007310412801074865,0.2674356362758154,0.02094278968184768,0.058765236089182,0.19202529581586134,-0.48263589787945904,-0.5966233513272087,-0.016207362878935438,0.13357004713152726,0.47017424736928537,0.6090850023609812,0.008670481564643229,-0.003672417092290964,0.003672417092290964,-0.008670481564643229,0.00175559178799585,-0.01418811310201773,-0.006377467993372299,0.006377467993372299,0.01418811310201773,-0.00175559178799585,-0.14490264502124983,-0.035828363231033,0.14490264502124983,0.07663360263730212,0.04067868558219612,-0.25088669919776097,0.00249732181350857,-0.014062013063563191,0.1405491480949539,-0.40284672267579225,0.0,1.028054238908657,0.0,0.0,0.9765090984969493,0.0,0.0,0.0
52,0.03,-0.11579686560482362,0.04904608688251398,-0.04904608688251398,0.11579686560482362,-0.023446509872394095,0.18948644459093322,0.08517285272095375,-0.08517285272095375,-0.18948644459093322,0.023446509872394095,0.280499329908417,0.478498372009061,-0.280499329908417,0.1301050163441432,1.3735265513235768,0.7292272649935763,0.004014205792374024,0.0005904211494718545,0.26884112775676494,0.016914322455089757,0.058765236089182,0.2023058382049479,-0.48263589787945904,-0.5966233513272087,-0.006442271893965944,0.13357004713152726,0.47017424736928537,0.6090850023609812,-0.006984685493433007,0.002958385442008299,-0.002958385442008299,0.006984685493433007,-0.0014142402928910697,0.011429532952778043,0.005137498826293663,-0.005137498826293663,-0.011429532952778043,0.0014142402928910697,0.009213331321888951,0.02886228294742832,-0.009213331321888951,0.051808283703028146,-0.024617589846709365,-0.049321713117711496,-0.0009674185510879542,0.00046033059021350535,-0.054354596908640085,0.013187184229293547,0.0,-0.10402244372361424,0.0,0.0,0.03949788307676793,0.0,0.0,0.0
53,0.04,-0.11586671245975795,0.049075670736934064,-0.049075670736934064,0.11586671245975795,-0.023460652275323006,0.189600739920461,0.08522422770921669,-0.08522422770921669,-0.189600739920461,0.023460652275323006,0.2805914632216359,0.47878699483853526,-0.2805914632216359,0.13062309918117349,1.3732803754251097,0.7287340478623991,0.004004531606863144,0.0005950244553739896,0.26829758178767854,0.017046194297382692,0.058765236089182,0.20126561376771177,-0.48263589787945904,-0.5966233513272087,-0.006047293063198265,0.13357004713152726,0.47017424736928537,0.6090850023609812,0.00037624062685231996,-0.00015934856070765058,0.00015934856070765058,-0.00037624062685231996,7.616616855693481e-05,-0.0006156823469327666,-0.00027673940619643567,0.00027673940619643567,0.0006156823469327666,-7.616616855693481e-05,0.004724292125884988,-0.0015547392976766883,-0.004724292125884988,-0.00548057819735881,-0.013631073817954587,-0.060037022434000775,-0.001433892700268384,0.0008322777071060228,-0.0807813776046662,0.023842890551617132,0.0,-0.1419768797829596,0.0,0.0,0.0647194615644127,0.0,0.0,0.0
54,0.05,-0.11586295005348943,0.04907407725132699,-0.04907407725132699,0.11586295005348943,-0.023459890613637437,0.18959458309699168,0.08522146031515472,-0.08522146031515472,-0.18959458309699168,0.023459890613637437,0.28063870614289477,0.4787714474455585,-0.28063870614289477,0.1305682933991999,1.3731440646869302,0.7281336776380591,0.0039901926798604605,0.0006033472324450498,0.2674897680116319,0.017284623202898863,0.058765236089182,0.19984584496988217,-0.48263589787945904,-0.5966233513272087,-0.005400098447554138,0.13357004713152726,0.47017424736928537,0.6090850023609812,-0.003800384633048659,0.0016096648092371602,-0.0016096648092371602,0.003800384633048659,-0.0007694982139115625,0.0062188524709516635,0.0027953193299942725,-0.0027953193299942725,-0.0062188524709516635,0.0007694982139115625,0.07258693459350485,0.01570405373041983,-0.07258693459350485,0.03966827957164187,-0.04691462482653286,0.05578053090753432,-0.004424462013683222,-0.0014393032209496486,-0.24967507417773538,-0.04123275780654294,0.0,0.16439259715193,0.0,0.0,0.1575920089879977,0.0,0.0,0.0
55,0.06,-0.11590095389981991,0.04909017389941936,-0.04909017389941936,0.11590095389981991,-0.023467585595776552,0.1896567716217012,0.08524941350845466,-0.08524941350845466,-0.1896567716217012,0.023467585595776552,0.2813645754888298,0.4789284879828627,-0.2813645754888298,0.13096497619491632,1.3726749184386648,0.7286914829471345,0.003945948059723628,0.0005889542002355533,0.2649930172698545,0.016872295624833434,0.058765236089182,0.20148977094140147,-0.48263589787945904,-0.5966233513272087,-0.003824178357674161,0.13357004713152726,0.47017424736928537,0.6090850023609812,0.0008662592676428327,-0.0003669205686465671,0.0003669205686465671,-0.0008662592676428327,0.00017540558982544197,-0.0014175215118844564,-0.0006371673500260577,0.0006371673500260577,0.0014175215118844564,-0.00017540558982544197,0.009443662423280763,-0.003579565576083965,-0.009443662423280763,-0.012786805698886128,0.0014501591688809157,-0.13891855678799248,0.0018664900086677767,3.719296635999953e-05,0.10544527103641954,0.001065314068832493,0.0,0.3269164528204582,0.0,0.0,0.1380090657147708,0.0,0.0,0.0
56,0.07,-0.11589229130714349,0.049086504693732894,-0.049086504693732894,0.11589229130714349,-0.023465831539878298,0.18964259640658235,0.0852430418349544,-0.0852430418349544,-0.18964259640658235,0.023465831539878298,0.2814590121130626,0.47889269232710185,-0.2814590121130626,0.13083710813792745,1.3726894200303537,0.7273022973792546,0.003964612959810306,0.0005893261298991533,0.2660474699802187,0.01688294876552176,0.058765236089182,0.20475893546960605,-0.48263589787945904,-0.5966233513272087,-0.0024440877005264526,0.13357004713152726,0.47017424736928537,0.6090850023609812,0.002926986968765366,-0.0012397248209845835,0.0012397248209845835,-0.002926986968765366,0.0005926440008071493,-0.004789619799783207,-0.0021528985389207556,0.0021528985389207556,0.004789619799783207,-0.0005926440008071493,-0.007841677062753183,-0.012094922276806308,0.007841677062753183,-0.012373965517620267,0.006697404298572351,0.05124763158741441,-0.0007877369045951668,-0.0023797738883867816,-0.04449088609428942,-0.06817531820311681,0.0,-0.09471437592991905,0.0,0.0,0.267903991017265,0.0,0.0,0.0
57,0.08,-0.11586302143745583,0.04907410744552305,-0.04907410744552305,0.11586302143745583,-0.023459905099870226,0.18959470020858452,0.0852215128495652,-0.0852215128495652,-0.18959470020858452,0.023459905099870226,0.2813805953424351,0.4787717431043338,-0.2813805953424351,0.13071336848275125,1.3727563940733394,0.7278147736951287,0.003956735590764354,0.0005655283910152855,0.2656025611192758,0.01620119558349059,0.058765236089182,0.20381179171030686,-0.48263589787945904,-0.5966233513272087,0.00023495220964619705,0.13357004713152726,0.47017424736928537,0.6090850023609812,0.0008527329659391292,-0.00036117843540753314,0.00036117843540753314,-0.0008527329659391292,0.00017266542289978704,-0.0013953907369718133,-0.0006272189732883793,0.0006272189732883793,0.0013953907369718133,-0.00017266542289978704,-0.006567621615377606,-0.003523715040021358,0.006567621615377606,0.021865711761789863,0.02518813797915964,-0.00851375099781837,0.003820316293105374,-0.00016721999563358656,0.2154361299366192,-0.0047904575578263525,0.0,0.10924897179504511,0.0,0.0,-0.20908091489120478,0.0,0.0,0.0
58,0.09,-0.11585449410779644,0.04907049566116897,-0.04907049566116897,0.11585449410779644,-0.02345817844564123,0.1895807463012148,0.08521524065983231,-0.08521524065983231,-0.1895807463012148,0.02345817844564123,0.2813149191262813,0.4787365059539336,-0.2813149191262813,0.13093202560036915,1.373008275453131,0.7277296361851505,0.003994938753695408,0.0005638561910589496,0.267756922418642,0.016153291007912327,0.058765236089182,0.2049042814282573,-0.48263589787945904,-0.5966233513272087,-0.0018558569392658508,0.13357004713152726,0.47017424736928537,0.6090850023609812,0.008608312936686513,-0.0036460800738789823,0.0036460800738789823,-0.008608312936686513,0.001743007964088994,-0.014086395313211986,-0.006331722913677229,0.006331722913677229,0.014086395313211986,-0.001743007964088994,-0.06304546391894816,-0.0355714682184316,0.06304546391894816,-0.16808185667150644,0.030518600407569707,-0.52163439007189,0.002053502038019007,0.012939277662340282,0.11550304501030118,0.37068307963504726,0.0,0.10455733477947038,0.0,0.0,-0.732351638403299,0.0,0.0,0.0
