,time,sternoclavicular_r2,sternoclavicular_r3,unrotscap_r3,unrotscap_r2,acromioclavicular_r2,acromioclavicular_r3,acromioclavicular_r1,unrothum_r1,unrothum_r3,unrothum_r2,elv_angle,shoulder_elv,shoulder1_r2,shoulder_rot,elbow_flexion,pro_sup,deviation,flexion,proximal_distal_r1,proximal_distal_r3,cmc_flexion,cmc_abduction,mp_flexion,ip_flexion,2mcp_flexion,2mcp_abduction,2pm_flexion,2md_flexion,FPLpt_tx,FPLpt_ty,FPLpt_tz,FPLpt2_tx,FPLpt2_ty,FPLpt2_tz,sternoclavicular_r2_vel,sternoclavicular_r3_vel,unrotscap_r3_vel,unrotscap_r2_vel,acromioclavicular_r2_vel,acromioclavicular_r3_vel,acromioclavicular_r1_vel,unrothum_r1_vel,unrothum_r3_vel,unrothum_r2_vel,elv_angle_vel,shoulder_elv_vel,shoulder1_r2_vel,shoulder_rot_vel,elbow_flexion_vel,pro_sup_vel,deviation_vel,flexion_vel,proximal_distal_r1_vel,proximal_distal_r3_vel,cmc_flexion_vel,cmc_abduction_vel,mp_flexion_vel,ip_flexion_vel,2mcp_flexion_vel,2mcp_abduction_vel,2pm_flexion_vel,2md_flexion_vel,FPLpt_tx_vel,FPLpt_ty_vel,FPLpt_tz_vel,FPLpt2_tx_vel,FPLpt2_ty_vel,FPLpt2_tz_vel
49,0.0,-0.1158459788209089,0.04906688911280265,-0.04906688911280265,0.1158459788209089,-0.023456454234873185,0.18956681229059857,0.08520897737127861,-0.08520897737127861,-0.18956681229059857,0.023456454234873185,0.28226962208110384,0.47870131924354875,-0.28226962208110384,0.13072141863939316,1.3731075951595453,0.730020199314151,0.003983825195150409,0.0007088337107051106,0.26713101226775887,0.020306589418760637,0.058765236089182,0.19087549925911915,-0.48263589787945904,-0.5966233513272087,-0.02213555572117516,0.13357004713152726,0.47017424736928537,0.6090850023609812,-9.592329568960835e-07,-2.8775243377630514e-06,-1.6186183482995413e-06,7.401941357707952e-07,-1.359262421453184e-06,-1.6310101859887008e-06,-0.00024684191610724326,0.00010454522219455198,-0.00010454522219455198,0.00024684191610724326,-4.9986229777240765e-05,0.000403921548788877,0.00018156660208518138,-0.00018156660208518138,-0.000403921548788877,4.9986229777240765e-05,0.03153422495260072,0.0010200053214448612,-0.03153422495260072,-0.021262176906447494,0.016288267790920408,0.174502451750691,0.000401966780026828,0.0024678955623199804,0.022714622456665445,0.07070004168588176,0.0,0.10728034511855444,0.0,0.0,0.5982790580966457,0.0,0.0,0.0,-3.420845333908877e-06,-1.0279989294246574e-05,-5.77703982410123e-06,0.0,0.0,0.0
50,0.01,-0.11584844724006997,0.0490679345650246,-0.0490679345650246,0.11584844724006997,-0.023456954097170957,0.18957085150608646,0.08521079303729946,-0.08521079303729946,-0.18957085150608646,0.023456954097170957,0.28258496433062985,0.4787115192967632,-0.28258496433062985,0.13050879687032868,1.3732704778374545,0.7317652238316579,0.003987844862950677,0.0007335126663283104,0.2673581584923255,0.021013589835619455,0.058765236089182,0.1919483027103047,-0.48263589787945904,-0.5966233513272087,-0.016152765140208702,0.13357004713152726,0.47017424736928537,0.6090850023609812,-9.934414102351723e-07,-2.980324230705517e-06,-1.6763887465405536e-06,7.401941357707952e-07,-1.359262421453184e-06,-1.6310101859887008e-06,-0.0037324913251465808,0.0015809017831637517,-0.0015809017831637517,0.0037324913251465808,-0.000755745019405743,0.006107709904185077,0.0027453854600942296,-0.0027453854600942296,-0.006107709904185077,0.000755745019405743,-0.06380773646975646,0.015423439693296181,0.06380773646975646,-0.11611860518419004,-0.015856630413635386,-0.0021114469691996263,8.381071068081988e-05,-0.00028958502949089646,0.004651773695463213,-0.008295741920946731,0.0,0.004868945014291359,0.0,0.0,-0.005111353794098189,0.0,0.0,0.0,3.839724354387327e-07,1.1519173063162616e-06,6.457718232379042e-07,0.0,0.0,0.0
51,0.02,-0.11588577215332144,0.049083743582856235,-0.049083743582856235,0.11588577215332144,-0.023464511547365015,0.1896319286051283,0.0852382468919004,-0.0852382468919004,-0.1896319286051283,0.023464511547365015,0.2819468869659323,0.47886575369369616,-0.2819468869659323,0.12934761081848678,1.3731119115333181,0.7317441093619659,0.003988682970057485,0.0007306168160334015,0.26740467622928016,0.020930632416409987,0.058765236089182,0.1919969921604476,-0.48263589787945904,-0.5966233513272087,-0.016203878678149684,0.13357004713152726,0.47017424736928537,0.6090850023609812,-9.89601685880785e-07,-2.9688050576423545e-06,-1.6699310283081745e-06,7.401941357707952e-07,-1.359262421453184e-06,-1.6310101859887008e-06,0.008866778745615644,-0.0037555471245641348,0.0037555471245641348,-0.008866778745615644,0.0017953329350638147,-0.014509323497557958,-0.006521841629096581,0.006521841629096581,0.014509323497557958,-0.0017953329350638147,-0.14320878552889216,-0.036639487547612815,0.14320878552889216,0.07622023885726081,0.040788693684956634,-0.26366999678484326,0.002664227649876779,-0.01396834124260866,0.14992310206790038,-0.4001637327364565,0.0,1.0490025358024235,0.0,0.0,0.9842631774845398,0.0,0.0,0.0,1.9442967867216848e-05,5.832890360165049e-05,3.2812189937493404e-05,0.0,0.0,0.0
52,0.03,-0.11579710436586528,0.04904618811161059,-0.04904618811161059,0.11579710436586528,-0.023446558218014377,0.18948683537015273,0.08517302847560944,-0.08517302847560944,-0.18948683537015273,0.023446558218014377,0.28051479911064336,0.47849935881822003,-0.28051479911064336,0.1301098132070594,1.3735197984701677,0.7291074093941174,0.004015325246556253,0.0005909334036073149,0.26890390724995916,0.016928995089045423,0.058765236089182,0.20248701751847184,-0.48263589787945904,-0.5966233513272087,-0.006361246903304285,0.13357004713152726,0.47017424736928537,0.6090850023609812,-7.951720072086165e-07,-2.3855160216258496e-06,-1.3418091289332404e-06,7.401941357707952e-07,-1.359262421453184e-06,-1.6310101859887008e-06,-0.006955747934436762,0.002946115777366365,-0.002946115777366365,0.006955747934436762,-0.0014083934398965992,0.011382182170174837,0.005116205809417573,-0.005116205809417573,-0.011382182170174837,0.0014083934398965992,0.00861745846196249,0.028742692987082652,-0.00861745846196249,0.05182976870611866,-0.023997579083201437,-0.04776313409567967,-0.0009592678634810781,0.00043648939263126125,-0.053879099407228015,0.012504428879205748,0.0,-0.10361490934326922,0.0,0.0,0.03849517396820462,0.0,0.0,0.0,-6.108652381980175e-07,-1.8500490071139959e-06,-1.0471975511966014e-06,0.0,0.0,0.0
53,0.04,-0.11586666184520965,0.04907564926938426,-0.04907564926938426,0.11586666184520965,-0.023460642152413343,0.18960065719185448,0.08522419053370361,-0.08522419053370361,-0.18960065719185448,0.023460642152413343,0.280600973695263,0.47878678574809086,-0.280600973695263,0.13062811089412057,1.3732798226793357,0.7286297780531606,0.004005732567921442,0.0005952982975336275,0.2683651162558869,0.01705403937783748,0.058765236089182,0.20145086842503915,-0.48263589787945904,-0.5966233513272087,-0.0059762951636222385,0.13357004713152726,0.47017424736928537,0.6090850023609812,-8.012806595905967e-07,-2.4040165116969896e-06,-1.3522811044452065e-06,7.401941357707952e-07,-1.359262421453184e-06,-1.6310101859887008e-06,0.0003178593633745841,-0.0001346172452065808,0.0001346172452065808,-0.0003178593633745841,6.436774281325108e-05,-0.0005201430236800864,-0.0002338043065971962,0.0002338043065971962,0.0005201430236800864,-6.436774281325108e-05,0.004474762402723043,-0.001313482435172375,-0.004474762402723043,-0.004795431746193457,-0.01156369641239774,-0.05667646077244237,-0.0014234381780490156,0.0007799352828387124,-0.08018426556097302,0.02234358291098408,0.0,-0.14086791502953833,0.0,0.0,0.062446658905880754,0.0,0.0,0.0,-1.0821041362364776e-06,-3.2463124087094645e-06,-1.8325957145940525e-06,0.0,0.0,0.0
54,0.05,-0.1158634832515759,0.04907430309693219,-0.04907430309693219,0.1158634832515759,-0.02345999847498521,0.18959545576161768,0.08522185249063764,-0.08522185249063764,-0.18959545576161768,0.02345999847498521,0.2806457213192902,0.47877365092373914,-0.2806457213192902,0.13058015657665864,1.3731641857152117,0.7280630134454362,0.003991498186140952,0.0006030976503620146,0.26756327360027715,0.01727747520694732,0.058765236089182,0.20004218927474376,-0.48263589787945904,-0.5966233513272087,-0.005351828574563431,0.13357004713152726,0.47017424736928537,0.6090850023609812,-8.121017009529615e-07,-2.4364796357840842e-06,-1.370607061591147e-06,7.401941357707952e-07,-1.359262421453184e-06,-1.6310101859887008e-06,0.00020898572463262655,-8.852309966098093e-05,8.852309966098093e-05,-0.00020898572463262655,4.230678106870167e-05,-0.0003419798136367058,-0.00015371114722301238,0.00015371114722301238,0.0003419798136367058,-4.230678106870167e-05,0.08323630537064863,-0.0008635889138852715,-0.08323630537064863,0.013333914059507346,-0.046764002912080826,0.05240422637612374,-0.004445632857509943,-0.0001381777168803981,-0.25081535013793954,-0.003958319477060518,0.0,0.1833645355606206,0.0,0.0,0.17117519097127618,0.0,0.0,0.0,1.9198621771936634e-07,5.759586531581096e-07,3.316125578789238e-07,0.0,0.0,0.0
55,0.06,-0.11586139339432958,0.04907341786593558,-0.04907341786593558,0.11586139339432958,-0.023459575407174523,0.18959203596348131,0.08522031537916541,-0.08522031537916541,-0.18959203596348131,0.023459575407174523,0.2814780843729967,0.4787650150346003,-0.2814780843729967,0.1307134957172537,1.372696545686091,0.7285870557091975,0.003947041857565853,0.0006017158731932106,0.26505512009889776,0.017237892012176716,0.058765236089182,0.20187583463034997,-0.48263589787945904,-0.5966233513272087,-0.003640076664850669,0.13357004713152726,0.47017424736928537,0.6090850023609812,-8.101818387757678e-07,-2.430720049252503e-06,-1.3672909360123578e-06,7.401941357707952e-07,-1.359262421453184e-06,-1.6310101859887008e-06,-0.008030766033909065,0.003401454725919517,-0.003401454725919517,0.008030766033909065,-0.0016260709042058286,0.01314131697655041,0.005906927227034009,-0.005906927227034009,-0.01314131697655041,0.0016260709042058286,-0.0030699817943846686,0.03318495735913363,0.0030699817943846686,0.003915314564292838,-0.0009479232233378099,-0.020245906589611007,-0.0005283984310412715,-0.00012007865253720962,-0.029898380204584907,-0.003440009049095888,0.0,-0.07025304541115329,0.0,0.0,0.011463811219289324,0.0,0.0,0.0,1.5707963267949022e-07,4.886921905584564e-07,2.792526803190937e-07,0.0,0.0,0.0
56,0.07,-0.11594170105466867,0.049107432413194776,-0.049107432413194776,0.11594170105466867,-0.02347583611621658,0.18972344913324682,0.08527938465143575,-0.08527938465143575,-0.18972344913324682,0.02347583611621658,0.28144738455505286,0.4790968646081916,-0.28144738455505286,0.13075264886289664,1.3726870664538575,0.7283845966433014,0.00394175787325544,0.0006005150866678385,0.2647561362968519,0.017203491921685757,0.058765236089182,0.20117330417623844,-0.48263589787945904,-0.5966233513272087,-0.003525438552657776,0.13357004713152726,0.47017424736928537,0.6090850023609812,-8.086110424489729e-07,-2.4258331273469186e-06,-1.3644984092091668e-06,7.401941357707952e-07,-1.359262421453184e-06,-1.6310101859887008e-06,0.009583951988550998,-0.004059304227580635,0.004059304227580635,-0.009583951988550998,0.0019405617821228321,-0.01568290033988895,-0.0070493499422188965,0.0070493499422188965,0.01568290033988895,-0.0019405617821228321,-0.010746952135620713,-0.03960303916420438,0.010746952135620713,-0.036728953125064745,0.012331850722757665,-0.018806917527913747,-0.0006335894250589051,-0.00029064968033461853,-0.035873567258659644,-0.008326529528952104,0.0,-0.10797430548243891,0.0,0.0,0.01047995166664757,0.0,0.0,0.0,4.014257279586972e-07,1.2042771838760705e-06,6.806784082777909e-07,0.0,0.0,0.0
57,0.08,-0.11584586153478316,0.04906683937091897,-0.04906683937091897,0.11584586153478316,-0.023456430498395353,0.18956662012984793,0.08520889115201356,-0.08520889115201356,-0.18956662012984793,0.023456430498395353,0.28133991503369665,0.4787008342165496,-0.28133991503369665,0.130385359331646,1.372810384961085,0.7281965274680222,0.003935421979004851,0.0005976085898644923,0.2643974006242653,0.017120226626396236,0.058765236089182,0.20009356112141405,-0.48263589787945904,-0.5966233513272087,-0.0034206390359913003,0.13357004713152726,0.47017424736928537,0.6090850023609812,-8.045967851693859e-07,-2.413790355508158e-06,-1.357691625126389e-06,7.401941357707952e-07,-1.359262421453184e-06,-1.6310101859887008e-06,-0.0006834883883727327,0.0002894977630278628,-0.0002894977630278628,0.0006834883883727327,-0.00013838715639119537,0.001118459344556788,0.0005027420910366787,-0.0005027420910366787,-0.001118459344556788,0.00013838715639119537,-0.0030830892170541357,0.0028243616087553214,0.0030830892170541357,0.050540214734992595,0.024160488115620993,-0.03392646049182879,0.00598108626695187,-0.0021174683551045516,0.33760757187330515,-0.060661344160722885,0.0,0.3869387795821494,0.0,0.0,0.001454609758489659,0.0,0.0,0.0,2.9321531433504735e-06,8.779006137531488e-06,4.939281783143949e-06,0.0,0.0,0.0
58,0.09,-0.11585269641866688,0.04906973434854925,-0.04906973434854925,0.11585269641866688,-0.023457814369959265,0.1895778047232935,0.08521391857292393,-0.08521391857292393,-0.1895778047232935,0.023457814369959265,0.2813090841415261,0.47872907783263713,-0.2813090841415261,0.13089076147899592,1.3730519898422413,0.7278572628631039,0.0039952328416743696,0.0005764339063134468,0.26777347634299836,0.016513613184789007,0.058765236089182,0.20396294891723554,-0.48263589787945904,-0.5966233513272087,-0.0034060929384064037,0.13357004713152726,0.47017424736928537,0.6090850023609812,-7.752752537358812e-07,-2.326000294132843e-06,-1.3082988072949494e-06,7.401941357707952e-07,-1.359262421453184e-06,-1.6310101859887008e-06,-0.005318873442160255,0.0022528186385963045,-0.0022528186385963045,0.005318873442160255,-0.001076972868235479,0.008703625367137424,0.003912207878223328,-0.003912207878223328,-0.008703625367137424,0.001076972868235479,-0.12589436885754313,0.021978721830850922,0.12589436885754313,-0.06922134638371324,-0.013375226002909635,-0.4037424954611013,-0.0009096306995544541,0.004816305884048439,-0.05122399982933623,0.13797733562896963,0.0,-0.01419530385853851,0.0,0.0,-0.6227074367991371,0.0,0.0,0.0,-6.667157742618341e-06,-1.998401993533508e-05,-1.123992038284348e-05,0.0,0.0,0.0
