,time,sternoclavicular_r2,sternoclavicular_r3,unrotscap_r3,unrotscap_r2,acromioclavicular_r2,acromioclavicular_r3,acromioclavicular_r1,unrothum_r1,unrothum_r3,unrothum_r2,elv_angle,shoulder_elv,shoulder1_r2,shoulder_rot,elbow_flexion,pro_sup,deviation,flexion,proximal_distal_r1,proximal_distal_r3,cmc_flexion,cmc_abduction,mp_flexion,ip_flexion,2mcp_flexion,2mcp_abduction,2pm_flexion,2md_flexion,APLpt_tx,APLpt_ty,APLpt_tz,FPLpt_tx,FPLpt_ty,FPLpt_tz,FPLpt2_tx,FPLpt2_ty,FPLpt2_tz,sternoclavicular_r2_vel,sternoclavicular_r3_vel,unrotscap_r3_vel,unrotscap_r2_vel,acromioclavicular_r2_vel,acromioclavicular_r3_vel,acromioclavicular_r1_vel,unrothum_r1_vel,unrothum_r3_vel,unrothum_r2_vel,elv_angle_vel,shoulder_elv_vel,shoulder1_r2_vel,shoulder_rot_vel,elbow_flexion_vel,pro_sup_vel,deviation_vel,flexion_vel,proximal_distal_r1_vel,proximal_distal_r3_vel,cmc_flexion_vel,cmc_abduction_vel,mp_flexion_vel,ip_flexion_vel,2mcp_flexion_vel,2mcp_abduction_vel,2pm_flexion_vel,2md_flexion_vel,APLpt_tx_vel,APLpt_ty_vel,APLpt_tz_vel,FPLpt_tx_vel,FPLpt_ty_vel,FPLpt_tz_vel,FPLpt2_tx_vel,FPLpt2_ty_vel,FPLpt2_tz_vel
49,0.0,-0.10258802375937498,0.04345144496082044,-0.04345144496082044,0.10258802375937498,-0.020771988096056085,0.1678719003692732,0.07545726398595981,-0.07545726398595981,-0.1678719003692732,0.020771988096056085,0.26684700531055733,0.42391650356121235,-0.26684700531055733,0.03816969083212581,1.4306929230499992,0.9225710724108506,0.0030847512941096175,0.003365274574124162,0.2142977029782183,0.09640801533625631,0.058765236089182,0.1164590340982523,-0.48263589787945904,-0.5966233513272087,-0.05952265662466998,0.13357004713152726,0.47017424736928537,0.6090850023609812,-3.986506544480248e-06,-1.5945328046220196e-06,-7.973013088960496e-06,-5.102819134055822e-06,-1.5308282869242264e-05,-8.610930930564424e-06,7.401941357707952e-07,-1.359262421453184e-06,-1.6310101859887008e-06,-0.00443289195397184,0.00187757284941803,-0.00187757284941803,0.00443289195397184,-0.000897553021130329,0.007253850170677034,0.003260554295404783,-0.003260554295404783,-0.007253850170677034,0.000897553021130329,0.01872301955077038,0.01831768428528502,-0.01872301955077038,0.03881395835608134,0.02599723771379292,-0.014839312899228574,-8.197811496618752e-05,0.00032995449508951835,-0.0051078282290117905,0.00945233670965745,0.0,0.0008152083870213711,0.0,0.0,-0.0056959169204680304,0.0,0.0,0.0,-4.5378560551848494e-07,-1.9198621771937693e-07,-8.901179185171748e-07,-5.585053606381874e-07,-1.7104226669544914e-06,-9.599310885968635e-07,0.0,0.0,0.0
50,0.01,-0.1026323526789147,0.04347022068931462,-0.04347022068931462,0.1026323526789147,-0.020780963626267388,0.16794443887097998,0.07548986952891386,-0.07548986952891386,-0.16794443887097998,0.020780963626267388,0.26703423550606503,0.4240996804040652,-0.26703423550606503,0.038557830415686625,1.430952895427137,0.9224226792818583,0.0030839315129599556,0.003368574119075057,0.21424662469592817,0.09650253870335289,0.058765236089182,0.11646718618212251,-0.48263589787945904,-0.5966233513272087,-0.05957961579387466,0.13357004713152726,0.47017424736928537,0.6090850023609812,-3.991044400535433e-06,-1.5964526667992134e-06,-7.981914268145668e-06,-5.108404187662204e-06,-1.532538709591181e-05,-8.620530241450393e-06,7.401941357707952e-07,-1.359262421453184e-06,-1.6310101859887008e-06,0.0004285306912418796,-0.00018151424220763657,0.00018151424220763657,-0.0004285306912418796,8.676031711639387e-05,-0.0007012383868687522,-0.00031520646291000043,0.00031520646291000043,0.0007012383868687522,-8.676031711639387e-05,0.07626031161688251,-0.0017707936057820284,-0.07626031161688251,-0.09428584523867994,-0.03973186191625899,-0.041754070200816784,-0.009702232951958913,0.004759024177998028,-0.5960808857169264,0.1363360978135636,0.0,-0.36707860821053456,0.0,0.0,0.62678843546932,0.0,0.0,0.0,-6.387905062299311e-06,-2.548180707911709e-06,-1.2793263417118417e-05,-8.185594191853286e-06,-2.4556782575560113e-05,-1.3823007675795139e-05,0.0,0.0,0.0
51,0.02,-0.10262806737200228,0.04346840554689255,-0.04346840554689255,0.10262806737200228,-0.020780096023096224,0.1679374264871113,0.07548671746428476,-0.07548671746428476,-0.1679374264871113,0.020780096023096224,0.26779683862223386,0.4240819724680074,-0.26779683862223386,0.037614971963299826,1.4305555768079745,0.9220051385798501,0.0029869091834403665,0.0034161643608550374,0.2082858158387589,0.09786589968148852,0.058765236089182,0.11279640010001717,-0.48263589787945904,-0.5966233513272087,-0.05331173143918146,0.13357004713152726,0.47017424736928537,0.6090850023609812,-4.054923451158426e-06,-1.6219344738783305e-06,-8.109846902316852e-06,-5.1902601295807366e-06,-1.557095492166741e-05,-8.758760318208344e-06,7.401941357707952e-07,-1.359262421453184e-06,-1.6310101859887008e-06,0.019352367825746508,-0.008196746845773317,0.008196746845773317,-0.019352367825746508,0.00391845615694518,-0.031667620467329405,-0.014234381780489636,0.014234381780489636,0.031667620467329405,-0.00391845615694518,-0.18438857259264196,-0.07996828106603404,0.18438857259264196,-0.21293065743549916,0.0955731302817675,-0.05453314409112897,0.0009483770089487205,-0.00034698890858902813,0.05841805501984321,-0.009940295861930737,0.0,0.051370101341023655,0.0,0.0,-0.10472649209057258,0.0,0.0,0.0,4.363323129986051e-07,1.7453292519943357e-07,8.901179185171748e-07,5.585053606381874e-07,1.7104226669541526e-06,9.77384381116828e-07,0.0,0.0,0.0
52,0.03,-0.10243454369374481,0.043386438078434814,-0.043386438078434814,0.10243454369374481,-0.020740911461526772,0.167620750282438,0.07534437364647986,-0.07534437364647986,-0.167620750282438,0.020740911461526772,0.26595295289630744,0.42328228965734704,-0.26595295289630744,0.035485665388944834,1.4315113081107922,0.9214598071389388,0.0029963929535298537,0.003412694471769147,0.20886999638895734,0.09776649672286922,0.058765236089182,0.1133101011134274,-0.48263589787945904,-0.5966233513272087,-0.05435899636008719,0.13357004713152726,0.47017424736928537,0.6090850023609812,-4.05056012802844e-06,-1.6201891446263362e-06,-8.10094572313168e-06,-5.184675075974355e-06,-1.555385069499787e-05,-8.748986474397176e-06,7.401941357707952e-07,-1.359262421453184e-06,-1.6310101859887008e-06,-0.007991565938908485,0.003384856644732953,-0.003384856644732953,0.007991565938908485,-0.0016181296561088715,0.013077176126544132,0.005878094387791466,-0.005878094387791466,-0.013077176126544132,0.0016181296561088715,0.002034914281484612,0.033022955897965556,-0.002034914281484612,0.07911610660546117,-0.07280798054327686,0.060583607195840994,-0.003223919834406414,-0.00773152933365457,-0.19901458880398903,-0.2214920908284776,0.0,0.061322405068209296,0.0,0.0,0.34060332481459854,0.0,0.0,0.0,1.0419615634406206e-05,4.1713369122664624e-06,2.0821777976292447e-05,1.333431548523664e-05,3.9985493163190295e-05,2.2479840765686875e-05,0.0,0.0,0.0
53,0.04,-0.1025144593531339,0.04342028664488214,-0.04342028664488214,0.1025144593531339,-0.02075709275808786,0.16775152204370344,0.07540315459035778,-0.07540315459035778,-0.16775152204370344,0.02075709275808786,0.2659733020391223,0.4236125192163267,-0.2659733020391223,0.036276826454999446,1.4307832283053594,0.9220656432108972,0.0029641537551857895,0.0033353791784326015,0.20687985050091745,0.09555157581458444,0.058765236089182,0.1139233251641095,-0.48263589787945904,-0.5966233513272087,-0.0509529631119412,0.13357004713152726,0.47017424736928537,0.6090850023609812,-3.946363971684378e-06,-1.5784757755036715e-06,-7.892727943368756e-06,-5.051331921121988e-06,-1.5153995763365966e-05,-8.524188066740307e-06,7.401941357707952e-07,-1.359262421453184e-06,-1.6310101859887008e-06,-5.309291584570941e-05,2.2479840765254888e-05,-2.2479840765254888e-05,5.309291584570941e-05,-1.0751228192440454e-05,8.684758357746514e-05,3.904301536655774e-05,-3.904301536655774e-05,-8.684758357746514e-05,1.0751228192440454e-05,-0.0029398325920582113,0.00021933552709629822,0.0029398325920582113,0.035250345089359036,0.0012845274228956427,-0.015945764378533234,6.417575659583251e-05,0.0003362725869817621,0.003924477542863181,0.00963360660577034,0.0,0.005577269437917476,0.0,0.0,-0.0033616961255589217,0.0,0.0,0.0,-4.5378560551856964e-07,-1.919862177193981e-07,-9.075712110371393e-07,-5.759586531582367e-07,-1.727875959474456e-06,-9.599310885968635e-07,0.0,0.0,0.0
54,0.05,-0.10251499028229236,0.043420511443289796,-0.043420511443289796,0.10251499028229236,-0.020757200270369786,0.16775239051953922,0.07540354502051144,-0.07540354502051144,-0.16775239051953922,0.020757200270369786,0.2659439037132017,0.42361471257159766,-0.2659439037132017,0.036629329905893036,1.4307960735795884,0.9219061855671119,0.002964795512751748,0.003338741904302419,0.20691909527634608,0.09564791188064214,0.058765236089182,0.11397909785848867,-0.48263589787945904,-0.5966233513272087,-0.05098658007319679,0.13357004713152726,0.47017424736928537,0.6090850023609812,-3.950901827739564e-06,-1.5803956376808655e-06,-7.901803655479127e-06,-5.057091507653571e-06,-1.517127452296071e-05,-8.533787377626276e-06,7.401941357707952e-07,-1.359262421453184e-06,-1.6310101859887008e-06,-0.012906482925696683,0.005466580656756509,-0.005466580656756509,0.012906482925696683,-0.0026132989423034714,0.021119792946069915,0.009493194867446486,-0.009493194867446486,-0.021119792946069915,0.0026132989423034714,-0.015347430604362167,0.05333249719208788,0.015347430604362167,0.10608685406945512,0.03994430339282484,-0.6587517670718079,0.014934991848825725,0.014482480333661164,0.9173740273138054,0.4148921125084318,0.0,0.7761664188519493,0.0,0.0,-1.3336947790814533,0.0,0.0,0.0,-1.9547687622336476e-05,-7.819075048934582e-06,-3.9112828537192916e-05,-2.5028021473598648e-05,-7.510151771331608e-05,-4.2254421190782635e-05,0.0,0.0,0.0
55,0.06,-0.10264405511154932,0.04347517724985736,-0.04347517724985736,0.10264405511154932,-0.02078333325979282,0.16796358844899992,0.07549847696918591,-0.07549847696918591,-0.16796358844899992,0.02078333325979282,0.2657904294071581,0.42414803754351854,-0.2657904294071581,0.03769019844658759,1.4311955166135166,0.9153186678963938,0.003114145431240005,0.0034835667076390307,0.21609283554948414,0.09979683300572646,0.058765236089182,0.12174076204700816,-0.48263589787945904,-0.5966233513272087,-0.06432352786401133,0.13357004713152726,0.47017424736928537,0.6090850023609812,-4.146378703962928e-06,-1.6585863881702113e-06,-8.292931940851056e-06,-5.307371722389557e-06,-1.592228970009387e-05,-8.956331589534102e-06,7.401941357707952e-07,-1.359262421453184e-06,-1.6310101859887008e-06,0.003170914185024465,-0.0013430483127019333,0.0013430483127019333,-0.003170914185024465,0.0006420542719310501,-0.005188794053009871,-0.0023323183860252117,0.0023323183860252117,0.005188794053009871,-0.0006420542719310501,0.0792328167725398,-0.013102919733010143,-0.0792328167725398,-0.04513210260817871,-0.07141386389664106,0.47943508637887655,-0.015832859029221668,-0.008090438841034699,-0.9728775221091529,-0.23177377309209768,0.0,-0.6806946223865392,0.0,0.0,0.7744502191451715,0.0,0.0,0.0,1.094321441000438e-05,4.3807764225057615e-06,2.1903882112528723e-05,1.4014993893514495e-05,4.204498168054357e-05,2.3649211364523143e-05,0.0,0.0,0.0
56,0.07,-0.10261234596969908,0.04346174676673034,-0.04346174676673034,0.10261234596969908,-0.02077691271707351,0.16791170050846982,0.07547515378532565,-0.07547515378532565,-0.16791170050846982,0.02077691271707351,0.2665827575748835,0.42401700834618844,-0.2665827575748835,0.0372388774205058,1.4304813779745502,0.9201130187601826,0.0029558168409477884,0.0034026623192286837,0.2063640603283926,0.09747909527480549,0.058765236089182,0.11493381582314277,-0.48263589787945904,-0.5966233513272087,-0.05657902567255961,0.13357004713152726,0.47017424736928537,0.6090850023609812,-4.036946559862885e-06,-1.6147786239451537e-06,-8.07389311972577e-06,-5.167221783454412e-06,-1.5501839883288435e-05,-8.71983947588887e-06,7.401941357707952e-07,-1.359262421453184e-06,-1.6310101859887008e-06,-0.0049482004156220505,0.002095808819087275,-0.002095808819087275,0.0049482004156220505,-0.0010019062571073323,0.008097071092194597,0.003639587449062731,-0.003639587449062731,-0.008097071092194597,0.0010019062571073323,-0.004044538742109527,0.020447020879305056,0.004044538742109527,-0.004278395408584268,-0.01097356568569019,-0.031979283911853784,7.531095722354379e-05,0.00020912535097397482,0.0046389106188732265,0.005990842657470352,0.0,-0.010561144383450238,0.0,0.0,0.0009572781881336812,0.0,0.0,0.0,-2.792526803190937e-07,-1.0471975511966014e-07,-5.585053606381874e-07,-3.665191429188317e-07,-1.0821041362364458e-06,-6.10865238198081e-07,0.0,0.0,0.0
57,0.08,-0.1026618279738553,0.043482704854921214,-0.043482704854921214,0.1026618279738553,-0.020786931779644583,0.16799267121939176,0.07551154965981628,-0.07551154965981628,-0.16799267121939176,0.020786931779644583,0.2665423121874624,0.4242214785549815,-0.2665423121874624,0.03719609346641996,1.4303716423176933,0.919793225921064,0.002956569950520024,0.0034047535727384235,0.20641044943458134,0.09753900370138019,0.058765236089182,0.11482820437930827,-0.48263589787945904,-0.5966233513272087,-0.05656945289067827,0.13357004713152726,0.47017424736928537,0.6090850023609812,-4.0397390866660755e-06,-1.6158258214963503e-06,-8.079478173332151e-06,-5.1708869748836005e-06,-1.55126609246508e-05,-8.725948128270851e-06,7.401941357707952e-07,-1.359262421453184e-06,-1.6310101859887008e-06,0.010779188366902281,-0.004565554430414898,0.004565554430414898,-0.010779188366902281,0.002182551682911385,-0.01763871629967828,-0.007928489739741917,0.007928489739741917,0.01763871629967828,-0.002182551682911385,0.05223131660712643,-0.04454198933478426,-0.05223131660712643,-0.02831904921774403,0.0817947157683685,-0.4203860948344462,0.012084258315080794,0.012152727581636515,0.7437376952044106,0.34815009359363686,0.0,0.5512424696619833,0.0,0.0,-0.5358841482030869,0.0,0.0,0.0,-1.64410015537866e-05,-6.579891280018625e-06,-3.286454981505307e-05,-2.1031217486531597e-05,-6.311110575211518e-05,-3.548254369304453e-05,0.0,0.0,0.0
58,0.09,-0.10255403609018628,0.043437049310617065,-0.043437049310617065,0.10255403609018628,-0.02076510626281547,0.16781628405639498,0.07543226476241886,-0.07543226476241886,-0.16781628405639498,0.02076510626281547,0.26706462535353365,0.42377605866163365,-0.26706462535353365,0.03691290297424252,1.431189589475377,0.9155893649727196,0.0030774125336708318,0.0035262808485547886,0.21384782638662544,0.10102050463731656,0.058765236089182,0.1203406290759281,-0.48263589787945904,-0.5966233513272087,-0.06192829437270914,0.13357004713152726,0.47017424736928537,0.6090850023609812,-4.2041491022039415e-06,-1.6816247342965366e-06,-8.408123671482682e-06,-5.3811991497489165e-06,-1.614377198217195e-05,-9.080773565201297e-06,7.401941357707952e-07,-1.359262421453184e-06,-1.6310101859887008e-06,-0.002339456782665672,0.0009908932295278616,-0.0009908932295278616,0.002339456782665672,-0.0004736823589913258,0.0038282051813276485,0.001720755016125508,-0.001720755016125508,-0.0038282051813276485,0.0004736823589913258,-0.024218729752739643,0.009667169287286281,0.024218729752739643,0.02563087565052996,0.0019311195508686652,0.05195773624687705,0.00015929620082954198,-0.0026605624584476444,0.009758938699355735,-0.07621920911300012,0.0,-0.03460850025693851,0.0,0.0,-0.10949488868665438,0.0,0.0,0.0,3.5779249665884095e-06,1.4311699866353553e-06,7.1558499331766495e-06,4.572762640225117e-06,1.3735741213195655e-05,7.714355293814837e-06,0.0,0.0,0.0
